t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.02,0.0,2.678429960462081e-11,0.36833718187632214,5.1245152218881707e-11
0.08,0.0,0.04,0.0,-2.2430911295057143e-12,0.7133789250797423,-6.807103491990318e-12
0.12,0.0,0.06000000000000002,0.0,2.4583425572988205e-12,1.0368244410846936,2.788751868321171e-12
0.16,0.0,0.08,0.0,-1.3449415192656744e-12,1.3402201350067033,-1.6171335104342432e-12
0.2,0.0,0.1,0.0,7.236086729811575e-13,1.6249779903887889,2.0747986662073004e-13
0.24,0.0,0.12000000000000004,0.0,6.665501484093284e-14,1.8923914707481326,-5.1889048613418254e-14
0.28,0.0,0.13999999999999996,0.0,-3.416711358283919e-14,2.143649098429064,3.001071613439876e-14
0.32,0.0,0.16,0.0,4.8731851887140465e-14,2.379845945614478,7.7021722333370235e-16
0.36,0.0,0.18000000000000002,0.0,7.617517727709355e-14,2.601993254146991,-3.788636071533347e-14
0.4,0.0,0.2,0.0,1.6178725026350094e-13,2.8110266051751727,-3.3806291099836017e-14
0.44,0.0,0.22000000000000006,0.0,-5.954958748333183e-14,3.007812597418734,1.5126788710517758e-14
0.48,0.0,0.24000000000000007,0.0,-8.515410598874951e-14,3.1931548574788704,-3.014394289735378e-13
0.52,0.0,0.2599999999999999,0.0,4.123090757701675e-14,3.3677990448780433,-6.086797732507421e-14
0.56,0.0,0.28000000000000014,0.0,1.0176581799470341e-13,3.5324376118654617,-2.7278179715040096e-13
0.6,0.0,0.29999999999999993,0.0,5.706546346573305e-14,3.687713502289129,-1.6264767310758543e-13
0.64,0.0,0.32,0.0,2.733924198139448e-15,3.834224262075218,-2.6506574712925612e-14
0.68,0.0,0.33999999999999997,0.0,2.4480417692984702e-14,3.972525230627216,-9.700573677662305e-14
0.72,0.0,0.36000000000000004,0.0,-2.5299207173645755e-14,4.103132789035539,-2.2551405187698492e-14
0.76,0.0,0.37999999999999995,0.0,-8.198997036856781e-14,4.226526949942074,-3.429201367310952e-14
0.8,0.0,0.4,0.0,5.4067861299245124e-14,4.343154446710054,2.2074009287109675e-13
0.84,0.0,0.42,0.0,-2.9976021664879227e-14,4.453430905089703,1.859346010490981e-13
0.88,0.0,0.4400000000000001,0.0,-1.6775469902086115e-13,4.557743197356944,-1.7219559111936178e-13
0.92,0.0,0.46,0.0,-7.721601136267964e-14,4.656451521713598,-2.88935542158697e-14
0.96,0.0,0.48000000000000015,0.0,-9.217626661950362e-14,4.749891889091806,5.898059818321144e-14
1.0,0.0,0.5,0.0,2.9226621123257246e-14,4.83837711792166,-4.1217029789208937e-14
