x,y,z,t,u_x,u_y,u_z
1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0
0.4,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0,0.0,0.0
0.9,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.1,1.0,0.0,0.0,0.0,0.0
1.0,0.2,1.0,0.0,0.0,0.0,0.0
1.0,0.30000000000000004,1.0,0.0,0.0,0.0,0.0
1.0,0.4,1.0,0.0,0.0,0.0,0.0
1.0,0.5,1.0,0.0,0.0,0.0,0.0
1.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.0
1.0,0.7000000000000001,1.0,0.0,0.0,0.0,0.0
1.0,0.8,1.0,0.0,0.0,0.0,0.0
1.0,0.9,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.9,1.0,1.0,0.0,0.0,0.0,0.0
0.8,1.0,1.0,0.0,0.0,0.0,0.0
0.7,1.0,1.0,0.0,0.0,0.0,0.0
0.6,1.0,1.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.0,0.0,0.0,0.0
0.3999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
0.29999999999999993,1.0,1.0,0.0,0.0,0.0,0.0
0.19999999999999996,1.0,1.0,0.0,0.0,0.0,0.0
0.09999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.9,1.0,0.0,0.0,0.0,0.0
0.0,0.8,1.0,0.0,0.0,0.0,0.0
0.0,0.7,1.0,0.0,0.0,0.0,0.0
0.0,0.6,1.0,0.0,0.0,0.0,0.0
0.0,0.5,1.0,0.0,0.0,0.0,0.0
0.0,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.0,0.29999999999999993,1.0,0.0,0.0,0.0,0.0
0.0,0.19999999999999996,1.0,0.0,0.0,0.0,0.0
0.0,0.09999999999999998,1.0,0.0,0.0,0.0,0.0
0.1,0.09999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
0.2,0.09999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
0.3,0.1,1.0,0.0,0.0,0.0,0.0
0.4,0.09999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
0.5,0.09999999999999998,1.0,0.0,0.0,0.0,0.0
0.6,0.09999999999999998,1.0,0.0,0.0,0.0,0.0
0.7,0.09999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
0.8,0.1,1.0,0.0,0.0,0.0,0.0
0.9,0.09999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0
0.1,0.19999999999999996,0.9999999999999998,0.0,0.0,0.0,0.0
0.2,0.19999999999999996,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.2,1.0,0.0,0.0,0.0,0.0
0.39999999999999997,0.19999999999999996,1.0,0.0,0.0,0.0,0.0
0.5,0.19999999999999996,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.19999999999999996,1.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.19999999999999996,0.9999999999999999,0.0,0.0,0.0,0.0
0.7999999999999999,0.2,0.9999999999999999,0.0,0.0,0.0,0.0
0.9,0.19999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
0.09999999999999998,0.29999999999999993,0.9999999999999998,0.0,0.0,0.0,0.0
0.19999999999999996,0.3,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.29999999999999993,1.0,0.0,0.0,0.0,0.0
0.3999999999999998,0.29999999999999993,1.0000000000000002,0.0,0.0,0.0,0.0
0.5,0.29999999999999993,0.9999999999999999,0.0,0.0,0.0,0.0
0.6000000000000001,0.29999999999999993,1.0000000000000002,0.0,0.0,0.0,0.0
0.7,0.3,1.0,0.0,0.0,0.0,0.0
0.8,0.3,1.0000000000000002,0.0,0.0,0.0,0.0
0.9000000000000004,0.3,1.0,0.0,0.0,0.0,0.0
0.1,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.2,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.4,1.0000000000000002,0.0,0.0,0.0,0.0
0.4000000000000001,0.39999999999999997,1.0,0.0,0.0,0.0,0.0
0.5,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.7,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.8,0.4,1.0,0.0,0.0,0.0,0.0
0.9000000000000001,0.39999999999999997,0.9999999999999998,0.0,0.0,0.0,0.0
0.1,0.5,1.0,0.0,0.0,0.0,0.0
0.2,0.5,1.0,0.0,0.0,0.0,0.0
0.29999999999999993,0.5,0.9999999999999999,0.0,0.0,0.0,0.0
0.4,0.5,1.0,0.0,0.0,0.0,0.0
0.5,0.5,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.5,1.0,0.0,0.0,0.0,0.0
0.6999999999999998,0.5,1.0,0.0,0.0,0.0,0.0
0.8000000000000002,0.5,0.9999999999999999,0.0,0.0,0.0,0.0
0.9000000000000001,0.49999999999999994,1.0,0.0,0.0,0.0,0.0
0.09999999999999998,0.6000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0
0.19999999999999996,0.6000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0
0.3,0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0
0.3999999999999999,0.5999999999999999,1.0,0.0,0.0,0.0,0.0
0.5,0.6000000000000001,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.6000000000000001,1.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.6,0.9999999999999999,0.0,0.0,0.0,0.0
0.8000000000000002,0.6,0.9999999999999999,0.0,0.0,0.0,0.0
0.9000000000000002,0.6,0.9999999999999999,0.0,0.0,0.0,0.0
0.09999999999999996,0.7000000000000002,1.0,0.0,0.0,0.0,0.0
0.19999999999999993,0.7,1.0000000000000002,0.0,0.0,0.0,0.0
0.29999999999999993,0.7,1.0,0.0,0.0,0.0,0.0
0.39999999999999986,0.7000000000000002,0.9999999999999998,0.0,0.0,0.0,0.0
0.5,0.6999999999999998,1.0,0.0,0.0,0.0,0.0
0.6000000000000002,0.6999999999999998,1.0,0.0,0.0,0.0,0.0
0.7,0.7000000000000002,1.0,0.0,0.0,0.0,0.0
0.8,0.7000000000000002,1.0,0.0,0.0,0.0,0.0
0.9000000000000001,0.7,0.9999999999999998,0.0,0.0,0.0,0.0
0.09999999999999998,0.8,1.0,0.0,0.0,0.0,0.0
0.19999999999999996,0.8,1.0,0.0,0.0,0.0,0.0
0.29999999999999993,0.8,1.0,0.0,0.0,0.0,0.0
0.3999999999999999,0.8000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0
0.5,0.8000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0
0.6000000000000001,0.8,1.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.8000000000000002,1.0,0.0,0.0,0.0,0.0
0.8,0.8,1.0,0.0,0.0,0.0,0.0
0.9,0.7999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0
0.09999999999999996,0.9,0.9999999999999999,0.0,0.0,0.0,0.0
0.19999999999999993,0.9000000000000001,0.9999999999999998,0.0,0.0,0.0,0.0
0.2999999999999999,0.9000000000000001,0.9999999999999998,0.0,0.0,0.0,0.0
0.39999999999999986,0.8999999999999999,1.0,0.0,0.0,0.0,0.0
0.49999999999999994,0.9000000000000001,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.8999999999999999,0.9999999999999998,0.0,0.0,0.0,0.0
0.6999999999999998,0.9000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0
0.7999999999999999,0.9000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0
0.8999999999999999,0.8999999999999999,0.9999999999999998,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.04,0.0,0.0,0.0
0.0,0.0,1.0,0.04,0.0,0.0,0.0
