x,y,z,t,u_x,u_y,u_z
1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.09999999999999998,1.0,0.0,0.0,0.0,0.0
1.0,0.2,1.0,0.0,0.0,0.0,0.0
1.0,0.30000000000000004,1.0,0.0,0.0,0.0,0.0
1.0,0.4,1.0,0.0,0.0,0.0,0.0
1.0,0.5,1.0,0.0,0.0,0.0,0.0
1.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.0
1.0,0.7000000000000001,1.0,0.0,0.0,0.0,0.0
1.0,0.8,1.0,0.0,0.0,0.0,0.0
1.0,0.9,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.9,1.0,1.0,0.0,0.0,0.0,0.0
0.8,1.0,1.0,0.0,0.0,0.0,0.0
0.7,1.0,1.0,0.0,0.0,0.0,0.0
0.6,1.0,1.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.0,0.0,0.0,0.0
0.3999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
0.29999999999999993,1.0,1.0,0.0,0.0,0.0,0.0
0.19999999999999996,1.0,1.0,0.0,0.0,0.0,0.0
0.09999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.9,1.0,0.0,0.0,0.0,0.0
0.0,0.8,1.0,0.0,0.0,0.0,0.0
0.0,0.7,1.0,0.0,0.0,0.0,0.0
0.0,0.6,1.0,0.0,0.0,0.0,0.0
0.0,0.5,1.0,0.0,0.0,0.0,0.0
0.0,0.3999999999999999,1.0,0.0,0.0,0.0,0.0
0.0,0.29999999999999993,1.0,0.0,0.0,0.0,0.0
0.0,0.19999999999999996,1.0,0.0,0.0,0.0,0.0
0.0,0.09999999999999998,1.0,0.0,0.0,0.0,0.0
0.09999999999999998,0.0,1.0,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0
0.4,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0,0.0,0.0
0.9,0.0,1.0,0.0,0.0,0.0,0.0
0.9,0.09999999999999998,1.0,0.0,0.0,0.0,0.0
0.8999999999999999,0.1999999999999999,1.0,0.0,0.0,0.0,0.0
0.8999999999999999,0.30000000000000004,1.0,0.0,0.0,0.0,0.0
