t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.12000000000000004,0.0,-1.954794941368132e-12,0.47272235896399134,1.4452624210251064e-12
0.08,0.0,0.24000000000000007,0.0,2.5370330836160804e-16,0.7766421311223383,9.519295074422729e-17
0.12,0.0,0.36000000000000004,0.0,9.237402509576498e-17,1.0105901755123987,-3.443426099813962e-16
0.16,0.0,0.48000000000000015,0.0,-3.1181654480683108e-16,1.2042043980686805,8.413408858487514e-17
0.2,0.0,0.5999999999999999,0.0,2.419939248987646e-16,1.3737594128967132,-1.726049858596923e-16
0.24,0.0,0.7200000000000001,0.0,1.6479873021779667e-17,1.5294453484163821,-1.0625181290357943e-16
0.28,0.0,0.8399999999999999,0.0,1.214306433183765e-17,1.6781165885939897,-1.7780915628762273e-16
0.32,0.0,0.9600000000000003,0.0,1.6046192152785466e-16,1.8246205771421589,3.0444397003392965e-16
0.36,0.0,1.0800000000000003,0.0,-4.952635523913784e-16,1.9725249839949772,-9.627715291671279e-17
0.4,0.0,1.1999999999999997,0.0,-9.540979117872439e-18,2.1245436148448156,1.9081958235744878e-16
0.44,0.0,1.32,0.0,2.454633718507182e-16,2.2827922738288673,-1.9081958235744878e-16
0.48,0.0,1.4400000000000002,0.0,2.1163626406917047e-16,2.4489343786666886,-1.5612511283791264e-16
0.52,0.0,1.5599999999999998,0.0,-1.5265566588595902e-16,2.624246320223298,1.249000902703301e-16
0.56,0.0,1.68,0.0,-4.787836793695988e-16,2.809631362436991,3.9898639947466563e-17
0.6,0.0,1.8000000000000005,0.0,-4.198030811863873e-16,3.0056188358546136,-1.6132928326584306e-16
0.64,0.0,1.9200000000000006,0.0,7.147060721024445e-16,3.212380207391889,5.377642775528102e-17
0.68,0.0,2.039999999999999,0.0,7.632783294297951e-17,3.42977414531135,-1.1639994523804376e-15
0.72,0.0,2.1600000000000006,0.0,1.2836953722228372e-16,3.65741408793471,-2.1510571102112408e-16
0.76,0.0,2.2800000000000002,0.0,-5.898059818321144e-16,3.894744255372352,-1.4641066137244252e-15
0.8,0.0,2.3999999999999995,0.0,2.1822821327788233e-15,4.141111862348858,-1.547373340571312e-15
0.84,0.0,2.52,0.0,4.864164626638967e-15,4.395828499430174,-5.204170427930421e-16
0.88,0.0,2.64,0.0,3.5561831257524545e-15,4.658217690229556,-3.011479954295737e-15
0.92,0.0,2.7600000000000002,0.0,-2.42861286636753e-16,4.927648687505949,-1.908195823574488e-15
0.96,0.0,2.8800000000000003,0.0,-4.198030811863873e-16,5.203557216342598,-2.255140518769849e-16
1.0,0.0,3.0,0.0,-1.0685896612017132e-15,5.485454823121145,-2.0990154059319366e-15
