Notice: single processor solver parameters may overide those specified for parallel runs
******************************************************************
--- domain decomposition solver summary ---
preconditioner                   = GDSW
Krylov method                    = Right GMRES (gmresClassic)
solver option                    = Esmond
number of processors             = 1
total number of unknowns         = 5364
minimum subdomain size           = 5364
maximum subdomain size           = 5364
number of Type 1 constraints     = 0
number of Type 2 constraints     = 0
max depend dofs for master dof   = -1
overlap                          = 0
using interface preconditioner   = no
coarse correction                = none
solver tolerance                 = 0.001
maximum number of iterations     = 11
maximum number of restarts       = 1
maximum stored directions        = 0
linear solver execution space    = host
orthogonalization execution space= host
solving scaled problem           = no
operator diagonal magnitudes ----------------
min at node 79                   = 0.00788451
max at node 1386                 = 0.203457
max/min                          = 25.8047
Rigid Body Norm for Mode 1       = 0.000442006
Rigid Body Norm for Mode 2       = 0.00285387
Rigid Body Norm for Mode 3       = 0.000978119
Rigid Body Norm for Mode 4       = 0.0016062
Rigid Body Norm for Mode 5       = 0.000960239
Rigid Body Norm for Mode 6       = 0.00211161
maximum overlap rows             = 0
coarse space type                = large
number of coarse levels          = 0
solver initialization time       = 0.059273 seconds
                           Recursive      Actual
                            Relative    Relative
Solve  Iter  Total  Avg     Residual    Residual     CPU (s)   Total (s)      Avg (s)
    1     1      1    1  9.29285e-14 8.11513e-14  0.00818998  0.00818998   0.00818998
    2     1      2    1   1.4045e-13 2.25785e-13  0.00891391   0.0171039   0.00855195
    3     1      3    1   7.0852e-13 7.23354e-13  0.00887487   0.0259788   0.00865959
    4     1      4    1  3.16781e-13 3.21464e-13  0.00898907   0.0349678   0.00874196
    5     1      5    1  2.27338e-13  2.1741e-13  0.00893463   0.0439025   0.00878049
    6     1      6    1  5.08703e-13 7.27628e-13  0.00893162   0.0528341   0.00880568
    7     1      7    1  1.79078e-13 1.77403e-13  0.00898871   0.0618228   0.00883183
    8     1      8    1   5.1799e-13 2.18586e-13  0.00904052   0.0708633   0.00885791
    9     1      9    1  4.43592e-13 4.01357e-13  0.00883902   0.0797023   0.00885581
   10     1     10    1  4.70199e-13 2.50813e-13  0.00881877   0.0885211   0.00885211
   11     1     11    1  2.49791e-13 2.83146e-13  0.00884052   0.0973616   0.00885106
   12     1     12    1  8.12858e-13 3.05329e-13  0.00891007    0.106272   0.00885598
   13     1     13    1  7.10545e-14 3.92345e-14   0.0088033    0.115075   0.00885192
   14     1     14    1  3.22477e-13 2.96324e-13  0.00892718    0.124002    0.0088573
   15     1     15    1  1.13412e-12 1.01644e-12   0.0088531    0.132855   0.00885702
   16     1     16    1  2.09041e-12 1.79181e-12  0.00881433     0.14167   0.00885435
   17     1     17    1  6.57839e-13 8.87394e-13   0.0088178    0.150487    0.0088522
   18     1     18    1  1.04279e-12 6.89133e-13  0.00879883    0.159286   0.00884924
   19     1     19    1   1.0846e-12 1.15252e-12  0.00878979    0.168076   0.00884611
   20     1     20    1   1.2258e-13 1.47523e-13  0.00880531    0.176881   0.00884407
   21     1     21    1  1.15807e-13 1.43773e-13  0.00896626    0.185848   0.00884989
   22     1     22    1   1.5737e-12 6.44484e-13  0.00888029    0.194728   0.00885127
   23     1     23    1  1.30519e-12 8.44529e-13  0.00903399    0.203762   0.00885921
   24     1     24    1  7.46997e-13 7.91955e-13  0.00899799     0.21276   0.00886499
   25     1     25    1  8.69542e-13 1.01387e-12  0.00896265    0.221723    0.0088689
   26     1     26    1  1.05852e-12 1.18794e-12  0.00895017    0.230673   0.00887203
   27     1     27    1  8.01914e-13 9.59565e-13  0.00892263    0.239595    0.0088739
   28     1     28    1  9.21694e-13  1.0592e-12  0.00879781    0.248393   0.00887118
   29     1     29    1  6.02078e-13 5.80166e-13  0.00884687     0.25724   0.00887034
   30     1     30    1  4.37497e-13 6.04967e-13  0.00897954     0.26622   0.00887398
   31     1     31    1  3.70011e-13 3.94165e-13  0.00900753    0.275227   0.00887829
   32     1     32    1  5.57826e-13  4.1347e-13  0.00882827    0.284055   0.00887673
   33     1     33    1  3.79127e-13 5.79821e-13  0.00879055    0.292846   0.00887412
   34     1     34    1  2.63151e-13 4.14047e-13  0.00893026    0.301776   0.00887577
   35     1     35    1  3.34895e-13 4.01777e-13  0.00887572    0.310652   0.00887577
   36     1     36    1  1.12024e-12 1.02756e-12  0.00881208    0.319464     0.008874
   37     1     37    1  7.06859e-13 7.46746e-13  0.00883532    0.328299   0.00887295
   38     1     38    1  4.80127e-13 5.40978e-13  0.00881387    0.337113    0.0088714
   39     1     39    1  3.79122e-13 3.37393e-13  0.00881501    0.345928   0.00886995
   40     1     40    1  8.41996e-13 5.80863e-13  0.00888908    0.354817   0.00887043
   41     1     41    1   9.8611e-13 9.52147e-13  0.00887138    0.363689   0.00887045
   42     1     42    1   7.8613e-13  1.4983e-12  0.00887738    0.372566   0.00887062
total time for overlap preconditioner (seconds) = 0.341755
Notice: single processor solver parameters may overide those specified for parallel runs
******************************************************************
--- domain decomposition solver summary ---
preconditioner                   = GDSW
Krylov method                    = Right GMRES (gmresClassic)
solver option                    = Esmond
number of processors             = 1
total number of unknowns         = 5364
