minimum subdomain size           = 5364
maximum subdomain size           = 5364
number of Type 1 constraints     = 0
number of Type 2 constraints     = 0
max depend dofs for master dof   = -1
overlap                          = 0
using interface preconditioner   = no
coarse correction                = none
solver tolerance                 = 0.001
maximum number of iterations     = 11
maximum number of restarts       = 1
maximum stored directions        = 0
linear solver execution space    = host
orthogonalization execution space= host
solving scaled problem           = no
operator diagonal magnitudes ----------------
min at node 54                   = 0.00649214
max at node 1059                 = 0.173917
max/min                          = 26.7888
Rigid Body Norm for Mode 1       = 0.000347297
Rigid Body Norm for Mode 2       = 0.00217378
Rigid Body Norm for Mode 3       = 0.000319246
Rigid Body Norm for Mode 4       = 0.000446391
Rigid Body Norm for Mode 5       = 0.000324579
Rigid Body Norm for Mode 6       = 0.00148783
maximum overlap rows             = 0
coarse space type                = large
number of coarse levels          = 0
solver initialization time       = 0.0592231 seconds
                           Recursive      Actual
                            Relative    Relative
Solve  Iter  Total  Avg     Residual    Residual     CPU (s)   Total (s)      Avg (s)
    1     1      1    1  4.65166e-15 4.20151e-15   0.0079254   0.0079254    0.0079254
    2     1      2    1  1.32601e-15 1.34444e-15  0.00895682   0.0168822   0.00844111
    3     1      3    1  7.94001e-15 8.12752e-15  0.00906412   0.0259463   0.00864878
    4     1      4    1  1.53714e-15 1.69659e-15  0.00879817   0.0347445   0.00868613
    5     1      5    1  3.10262e-15 3.17229e-15  0.00883484   0.0435794   0.00871587
    6     1      6    1  1.11846e-15 1.12399e-15  0.00892753   0.0525069   0.00875115
    7     1      7    1  3.63351e-15 3.66328e-15  0.00897372   0.0614806   0.00878294
    8     1      8    1  5.43859e-15 5.51806e-15  0.00887252   0.0703531   0.00879414
    9     1      9    1  8.02796e-15 8.02818e-15  0.00905657   0.0794097    0.0088233
   10     1     10    1  8.92198e-16 9.01721e-16  0.00888354   0.0882932   0.00882932
   11     1     11    1  4.30818e-15  3.9574e-15  0.00892756   0.0972208   0.00883825
   12     1     12    1  1.56659e-15 1.59299e-15  0.00894532    0.106166   0.00884718
   13     1     13    1  3.03775e-15 2.83521e-15  0.00928728    0.115453   0.00888103
   14     1     14    1  1.29633e-15  1.3052e-15  0.00889818    0.124352   0.00888226
   15     1     15    1  1.01945e-15 1.00795e-15  0.00891323    0.133265   0.00888432
   16     1     16    1  2.27566e-15  2.3025e-15  0.00894622    0.142211   0.00888819
   17     1     17    1  1.28069e-15 1.30868e-15   0.0089073    0.151118   0.00888931
   18     1     18    1  6.50066e-16 6.38587e-16  0.00888404    0.160002   0.00888902
   19     1     19    1  3.61459e-15 3.68633e-15  0.00887348    0.168876    0.0088882
   20     1     20    1  2.48482e-15  2.3718e-15  0.00889789    0.177774   0.00888869
   21     1     21    1   1.8008e-15 1.77139e-15  0.00890028    0.186674   0.00888924
   22     1     22    1  1.89443e-15 1.82433e-15  0.00898114    0.195655   0.00889342
   23     1     23    1  1.45451e-15 1.39368e-15   0.0089005    0.204556   0.00889372
   24     1     24    1  2.39015e-15 2.40961e-15  0.00891823    0.213474   0.00889475
   25     1     25    1  1.00042e-15 1.01453e-15  0.00891619     0.22239    0.0088956
   26     1     26    1  1.47678e-15  1.4743e-15  0.00899741    0.231387   0.00889952
   27     1     27    1  1.14367e-15 1.19144e-15   0.0089628     0.24035   0.00890186
   28     1     28    1  6.81743e-16 6.96581e-16  0.00884799    0.249198   0.00889994
   29     1     29    1  3.12194e-15 2.88765e-15  0.00882064    0.258019    0.0088972
   30     1     30    1  2.70334e-15 2.63839e-15   0.0089172    0.266936   0.00889787
   31     1     31    1  1.04523e-15 1.04953e-15  0.00892456    0.275861   0.00889873
   32     1     32    1  1.99396e-15  2.0579e-15   0.0088766    0.284737   0.00889804
   33     1     33    1  1.47644e-15 1.44076e-15  0.00888665    0.293624   0.00889769
   34     1     34    1  1.29207e-15 1.26022e-15    0.009032    0.302656   0.00890164
   35     1     35    1  1.42002e-15 1.36062e-15  0.00898724    0.311643   0.00890409
   36     1     36    1  1.50823e-15 1.52134e-15  0.00891119    0.320554   0.00890429
   37     1     37    1  9.41182e-16 9.97991e-16  0.00891657    0.329471   0.00890462
   38     1     38    1  1.17216e-15 1.15505e-15  0.00887226    0.338343   0.00890377
   39     1     39    1  1.19794e-15  1.1553e-15  0.00891795    0.347261   0.00890413
   40     1     40    1  8.34388e-16 8.23663e-16  0.00886714    0.356128   0.00890321
   41     1     41    1   2.7446e-15 2.52748e-15  0.00891163     0.36504   0.00890341
   42     1     42    1  2.85833e-15 2.97557e-15   0.0088945    0.373934    0.0089032
   43     1     43    1  1.52792e-15  1.5957e-15  0.00893364    0.382868   0.00890391
   44     1     44    1  1.54895e-15 1.50458e-15  0.00908935    0.391957   0.00890812
   45     1     45    1  1.71515e-15 1.73682e-15  0.00906602    0.401023   0.00891163
   46     1     46    1  1.55936e-15 1.49082e-15  0.00916628     0.41019   0.00891717
   47     1     47    1  2.12843e-15 2.10257e-15  0.00910829    0.419298   0.00892123
   48     1     48    1  9.87498e-16  9.8613e-16  0.00907133    0.428369   0.00892436
   49     1     49    1  1.56293e-15 1.64898e-15  0.00902329    0.437393   0.00892638
   50     1     50    1  1.21435e-15 1.22732e-15   0.0089042    0.446297   0.00892594
   51     1     51    1  1.18778e-15 1.28055e-15  0.00918497    0.455482   0.00893101
   52     1     52    1  1.04102e-15 1.04172e-15  0.00890498    0.464387   0.00893051
   53     1     53    1  7.32371e-16 7.35781e-16  0.00892033    0.473307   0.00893032
   54     1     54    1  9.98379e-16 1.05161e-15  0.00886403    0.482171   0.00892909
   55     1     55    1  2.35472e-15 2.26544e-15  0.00926777    0.491439   0.00893525
   56     1     56    1  3.05118e-15 3.01116e-15  0.00900187    0.500441   0.00893644
   57     1     57    1   2.2494e-15 2.36637e-15  0.00991542    0.510356   0.00895362
   58     1     58    1  1.00599e-15 1.04701e-15  0.00892652    0.519283   0.00895315
   59     1     59    1   2.1389e-15 2.06833e-15   0.0091695    0.528452   0.00895682
   60     1     60    1  1.83525e-15 1.72032e-15  0.00915815     0.53761   0.00896017
   61     1     61    1  1.33158e-15 1.23476e-15  0.00899852    0.546609    0.0089608
   62     1     62    1  1.17067e-15 1.21579e-15  0.00897386    0.555583   0.00896101
   63     1     63    1  1.37293e-15 1.30634e-15  0.00910883    0.564692   0.00896336
   64     1     64    1  1.23378e-15  1.2027e-15  0.00914233    0.573834   0.00896615
   65     1     65    1  9.96923e-16 1.06257e-15  0.00908248    0.582916   0.00896794
   66     1     66    1  1.32217e-15 1.30152e-15  0.00912193    0.592038   0.00897028
   67     1     67    1  1.30788e-15 1.28006e-15  0.00893528    0.600974   0.00896975
   68     1     68    1  9.91238e-16 9.56757e-16  0.00894655     0.60992   0.00896941
   69     1     69    1   1.1997e-15 1.17154e-15  0.00888412    0.618804   0.00896818
   70     1     70    1  1.19519e-15 1.17757e-15  0.00893367    0.627738   0.00896768
   71     1     71    1  2.13181e-15 2.07131e-15  0.00900689    0.636745   0.00896824
   72     1     72    1  2.93572e-15 2.55828e-15   0.0089708    0.645716   0.00896827
   73     1     73    1  2.90007e-15 2.91496e-15  0.00904448     0.65476   0.00896932
   74     1     74    1  9.05473e-16 9.37024e-16    0.011466    0.666226   0.00900306
   75     1     75    1  2.20585e-15 2.30249e-15  0.00907072    0.675297   0.00900396
   76     1     76    1  1.70479e-15   1.661e-15  0.00917442    0.684471    0.0090062
   77     1     77    1  1.10928e-15 1.05784e-15  0.00896951    0.693441   0.00900572
   78     1     78    1   1.3093e-15 1.26951e-15  0.00960268    0.703043   0.00901338
   79     1     79    1  1.21183e-15 1.18241e-15  0.00894748    0.711991   0.00901254
   80     1     80    1  1.08712e-15 1.11945e-15   0.0088661    0.720857   0.00901071
   81     1     81    1  9.86428e-16 9.54488e-16  0.00898363    0.729841   0.00901038
   82     1     82    1  1.14585e-15 1.12943e-15  0.00904543    0.738886   0.00901081
   83     1     83    1  1.66872e-15 1.67015e-15  0.00904901    0.747935   0.00901127
   84     1     84    1  1.46646e-15 1.43771e-15  0.00894563    0.756881   0.00901048
   85     1     85    1  9.69359e-16  9.7122e-16  0.00892331    0.765804   0.00900946
   86     1     86    1  8.54831e-16 8.42569e-16  0.00894005    0.774744   0.00900865
   87     1     87    1  1.30406e-15 1.25166e-15   0.0089699    0.783714   0.00900821
   88     1     88    1  1.93873e-15 2.00318e-15  0.00886652     0.79258    0.0090066
   89     1     89    1  2.70306e-15 2.63816e-15  0.00920474    0.801785   0.00900882
   90     1     90    1  3.09089e-15 3.18975e-15  0.00896307    0.810748   0.00900831
   91     1     91    1  1.09151e-15 1.11792e-15   0.0088799    0.819628    0.0090069
   92     1     92    1  2.10638e-15 2.15009e-15  0.00901976    0.828648   0.00900704
   93     1     93    1  1.58931e-15 1.55482e-15  0.00897636    0.837624   0.00900671
   94     1     94    1  1.17314e-15 1.17836e-15  0.00907217    0.846696   0.00900741
   95     1     95    1  1.35025e-15 1.30833e-15  0.00896094    0.855657   0.00900692
   96     1     96    1  1.13039e-15 1.12846e-15  0.00905187    0.864709   0.00900739
   97     1     97    1  1.08136e-15 1.03841e-15  0.00894573    0.873655   0.00900675
   98     1     98    1  9.34828e-16 9.76987e-16  0.00894178    0.882597   0.00900609
   99     1     99    1  9.06278e-16 8.90494e-16  0.00911339     0.89171   0.00900717
  100     1    100    1  1.59262e-15  1.5943e-15  0.00920303    0.900913   0.00900913
  101     1    101    1  1.58009e-15 1.60753e-15  0.00892226    0.909835   0.00900827
  102     1    102    1  1.27894e-15 1.33441e-15   0.0089975    0.918833   0.00900817
  103     1    103    1  1.27959e-15 1.25174e-15  0.00895914    0.927792   0.00900769
  104     1    104    1  8.52279e-16 8.77065e-16  0.00892892    0.936721   0.00900693
  105     1    105    1  1.46551e-15 1.46687e-15  0.00897743    0.945698   0.00900665
  106     1    106    1  1.39608e-15 1.43173e-15  0.00892253    0.954621   0.00900586
  107     1    107    1  1.80935e-15 1.85662e-15  0.00895484    0.963576   0.00900538
  108     1    108    1  2.44959e-15 2.48105e-15  0.00907897    0.972655   0.00900606
  109     1    109    1  3.50703e-15 3.50196e-15  0.00890732    0.981562   0.00900516
  110     1    110    1  1.24769e-15 1.24047e-15  0.00885062    0.990413   0.00900375
  111     1    111    1  2.13697e-15 2.01597e-15  0.00910943    0.999522    0.0090047
  112     1    112    1  1.43074e-15 1.41833e-15  0.00917186     1.00869    0.0090062
  113     1    113    1  1.40133e-15 1.46997e-15  0.00920623      1.0179   0.00900797
  114     1    114    1  1.22985e-15 1.21896e-15   0.0091135     1.02701   0.00900889
  115     1    115    1  9.90769e-16 1.01515e-15   0.0090345     1.03605   0.00900912
  116     1    116    1   1.0258e-15 1.01672e-15  0.00968081     1.04573   0.00901491
  117     1    117    1  9.77591e-16 9.58509e-16  0.00912966     1.05486   0.00901589
  118     1    118    1  9.60534e-16  9.8003e-16  0.00929499     1.06415   0.00901825
  119     1    119    1  1.43206e-15 1.34146e-15  0.00895231     1.07311    0.0090177
  120     1    120    1    1.395e-15 1.33358e-15   0.0089474     1.08205   0.00901711
  121     1    121    1  1.34971e-15 1.35775e-15  0.00890454     1.09096   0.00901618
  122     1    122    1  1.57689e-15 1.62005e-15  0.00887572     1.09983   0.00901503
  123     1    123    1  1.07493e-15 1.07242e-15  0.00889024     1.10872   0.00901402
  124     1    124    1  1.38106e-15 1.28348e-15  0.00890386     1.11763   0.00901313
  125     1    125    1  1.25921e-15 1.21013e-15  0.00905363     1.12668   0.00901345
  126     1    126    1  2.20342e-15 2.27223e-15  0.00893384     1.13562   0.00901282
  127     1    127    1  2.63765e-15 2.73538e-15  0.00882268     1.14444   0.00901132
  128     1    128    1  1.94406e-15 1.92481e-15  0.00889319     1.15333    0.0090104
  129     1    129    1  6.90172e-16 6.96295e-16  0.00943127     1.16276   0.00901366
  130     1    130    1  1.78056e-15  1.8079e-15  0.00918996     1.17195   0.00901502
  131     1    131    1  1.53106e-15  1.5829e-15  0.00912838     1.18108   0.00901588
  132     1    132    1  1.35214e-15 1.35618e-15  0.00905803     1.19014    0.0090162
  133     1    133    1  1.55407e-15 1.57474e-15  0.00929436     1.19943   0.00901829
  134     1    134    1  1.34837e-15 1.32548e-15   0.0093636      1.2088   0.00902087
  135     1    135    1  1.15341e-15 1.18079e-15  0.00895096     1.21775   0.00902035
  136     1    136    1  1.27764e-15  1.2706e-15  0.00905717      1.2268   0.00902062
  137     1    137    1   1.4707e-15 1.53225e-15  0.00905553     1.23586   0.00902088
  138     1    138    1  1.18001e-15 1.19253e-15  0.00889489     1.24476   0.00901997
  139     1    139    1   1.7635e-15 1.78618e-15   0.0090375     1.25379   0.00902009
  140     1    140    1  1.46607e-15 1.45483e-15  0.00902625     1.26282   0.00902014
  141     1    141    1  1.67581e-15 1.62596e-15  0.00897097     1.27179   0.00901979
  142     1    142    1  1.44866e-15 1.50939e-15  0.00894548     1.28074   0.00901926
  143     1    143    1  1.36915e-15 1.32508e-15  0.00888466     1.28962   0.00901832
  144     1    144    1  1.79806e-15 1.82886e-15  0.00887439     1.29849   0.00901732
  145     1    145    1  1.28154e-15 1.26191e-15  0.00894135     1.30744    0.0090168
  146     1    146    1  9.79915e-16 1.01473e-15  0.00891169     1.31635   0.00901608
  147     1    147    1   1.5442e-15 1.52519e-15  0.00892326     1.32527   0.00901545
  148     1    148    1  9.27959e-16 9.66871e-16  0.00891428     1.33419   0.00901476
  149     1    149    1  2.31786e-15 2.49682e-15  0.00886262     1.34305   0.00901374
  150     1    150    1  3.50475e-15 3.34088e-15  0.00901993     1.35207   0.00901378
  151     1    151    1  1.46602e-15 1.41392e-15   0.0091531     1.36122   0.00901471
  152     1    152    1  2.60034e-15 2.63725e-15  0.00905995     1.37028     0.009015
  153     1    153    1  1.72382e-15 1.74128e-15  0.00911967      1.3794   0.00901569
  154     1    154    1  1.38506e-15  1.4069e-15  0.00902343     1.38842   0.00901574
  155     1    155    1  1.93926e-15 1.87872e-15  0.00919302     1.39762   0.00901688
  156     1    156    1  1.15145e-15 1.15107e-15  0.00897889      1.4066   0.00901664
  157     1    157    1  1.85612e-15 1.94635e-15  0.00901474     1.41561   0.00901663
  158     1    158    1  1.11693e-15 1.07861e-15  0.00901447     1.42462   0.00901661
  159     1    159    1  1.01807e-15 1.02574e-15  0.00903082     1.43366    0.0090167
  160     1    160    1  1.19446e-15 1.16886e-15  0.00901162     1.44267   0.00901667
  161     1    161    1  2.36125e-15 2.51295e-15  0.00896534     1.45163   0.00901635
  162     1    162    1   3.2035e-15 3.26209e-15  0.00909757     1.46073   0.00901685
  163     1    163    1  1.51502e-15 1.54429e-15  0.00897607     1.46971    0.0090166
  164     1    164    1  2.60598e-15 2.75837e-15  0.00893585     1.47864   0.00901611
  165     1    165    1  1.67562e-15  1.6514e-15  0.00898091     1.48762    0.0090159
  166     1    166    1  1.35195e-15  1.4362e-15  0.00897957      1.4966   0.00901568
  167     1    167    1  1.84274e-15 1.79429e-15  0.00897249     1.50558   0.00901542
  168     1    168    1  1.09158e-15 1.14876e-15  0.00894342     1.51452   0.00901499
  169     1    169    1  1.67355e-15 1.70034e-15  0.00898289      1.5235    0.0090148
  170     1    170    1  1.16725e-15 1.18056e-15  0.00901369     1.53252    0.0090148
  171     1    171    1  1.10404e-15 1.07733e-15  0.00899065     1.54151   0.00901465
  172     1    172    1  1.24155e-15 1.24489e-15  0.00901834     1.55052   0.00901468
  173     1    173    1  2.38502e-15 2.29367e-15  0.00890989     1.55943   0.00901407
  174     1    174    1  2.99178e-15 3.11249e-15  0.00899163     1.56843   0.00901394
  175     1    175    1  1.46239e-15 1.47831e-15  0.00897636      1.5774   0.00901373
  176     1    176    1  2.87089e-15 2.83912e-15  0.00895046     1.58635   0.00901337
  177     1    177    1  1.75861e-15 1.67458e-15  0.00886559     1.59522   0.00901253
  178     1    178    1  1.39673e-15 1.45053e-15  0.00895778     1.60418   0.00901222
  179     1    179    1  1.76751e-15 1.68026e-15  0.00946495     1.61364   0.00901475
  180     1    180    1  1.15201e-15  1.1709e-15  0.00897526     1.62262   0.00901453
  181     1    181    1  1.63616e-15 1.59455e-15  0.00907803     1.63169   0.00901488
  182     1    182    1  1.19737e-15 1.21076e-15  0.00899498     1.64069   0.00901478
  183     1    183    1  1.20981e-15 1.23744e-15  0.00896359     1.64965    0.0090145
  184     1    184    1  2.28379e-15 2.23292e-15  0.00908285     1.65874   0.00901487
  185     1    185    1  2.92102e-15 2.81755e-15  0.00913667     1.66787   0.00901553
  186     1    186    1  1.43252e-15 1.50439e-15  0.00906251     1.67693   0.00901578
  187     1    187    1  2.86348e-15 2.85869e-15   0.0090322     1.68597   0.00901587
  188     1    188    1  1.76345e-15 1.77899e-15  0.00914657     1.69511   0.00901656
  189     1    189    1  1.56934e-15 1.52056e-15  0.00893315     1.70405   0.00901612
  190     1    190    1  1.50307e-15 1.60797e-15   0.0090708     1.71312   0.00901641
  191     1    191    1  1.21402e-15 1.20634e-15  0.00960043     1.72272   0.00901947
  192     1    192    1  1.46313e-15 1.47047e-15  0.00899516     1.73171   0.00901934
  193     1    193    1  1.27096e-15  1.2365e-15    0.009008     1.74072   0.00901928
  194     1    194    1  2.41955e-15 2.44493e-15  0.00879934     1.74952   0.00901815
  195     1    195    1  2.84042e-15  2.7714e-15  0.00890175     1.75842   0.00901755
  196     1    196    1  1.55265e-15 1.46009e-15  0.00888735     1.76731   0.00901689
  197     1    197    1  2.86694e-15 2.88651e-15  0.00909343      1.7764   0.00901727
  198     1    198    1   1.7401e-15 1.69479e-15  0.00893331     1.78534   0.00901685
  199     1    199    1  1.51445e-15 1.59583e-15  0.00893816     1.79427   0.00901645
  200     1    200    1  1.40719e-15 1.44508e-15  0.00890313     1.80318   0.00901589
  201     1    201    1  1.30307e-15 1.19621e-15  0.00900375     1.81218   0.00901583
  202     1    202    1  1.42747e-15 1.37385e-15  0.00901221     1.82119   0.00901581
  203     1    203    1  2.44396e-15 2.43197e-15  0.00901371     1.83021    0.0090158
  204     1    204    1  2.84756e-15 2.81149e-15  0.00899234      1.8392   0.00901568
  205     1    205    1  1.52597e-15 1.55878e-15  0.00891673     1.84812    0.0090152
  206     1    206    1  2.74387e-15  2.8623e-15  0.00889911     1.85702   0.00901464
  207     1    207    1  1.74506e-15 1.91092e-15  0.00898908       1.866   0.00901451
  208     1    208    1  1.56863e-15 1.50428e-15  0.00918046     1.87518   0.00901531
  209     1    209    1  1.38222e-15 1.44152e-15  0.00914957     1.88433   0.00901595
  210     1    210    1  1.22844e-15 1.25927e-15  0.00888686     1.89322   0.00901534
  211     1    211    1  1.26063e-15 1.36123e-15   0.0088999     1.90212   0.00901479
  212     1    212    1  2.33872e-15 2.29083e-15  0.00887682       1.911   0.00901414
  213     1    213    1  2.84746e-15 2.90118e-15  0.00893841     1.91994   0.00901379
  214     1    214    1  1.56206e-15 1.54768e-15  0.00887548     1.92881   0.00901314
  215     1    215    1  2.79011e-15 2.71643e-15  0.00889321     1.93771   0.00901258
  216     1    216    1  1.76904e-15 1.88044e-15  0.00886395     1.94657   0.00901189
  217     1    217    1  1.60017e-15 1.63602e-15  0.00889831     1.95547   0.00901137
  218     1    218    1  1.26075e-15 1.32916e-15  0.00893683      1.9644   0.00901103
  219     1    219    1  1.22158e-15 1.21398e-15  0.00896378     1.97337   0.00901081
  220     1    220    1  2.33217e-15 2.33877e-15  0.00910615     1.98247   0.00901125
  221     1    221    1  2.71927e-15 2.86774e-15   0.0088882     1.99136   0.00901069
  222     1    222    1  1.47166e-15 1.52676e-15   0.0089265     2.00029   0.00901031
  223     1    223    1  2.51904e-15 2.66619e-15  0.00889693     2.00919    0.0090098
  224     1    224    1  1.85805e-15 1.90819e-15  0.00891217      2.0181   0.00900937
  225     1    225    1   1.4755e-15 1.44252e-15  0.00918763     2.02729   0.00901016
  226     1    226    1   1.3208e-15 1.28812e-15  0.00893603     2.03622   0.00900983
  227     1    227    1  1.16805e-15 1.19165e-15   0.0113632     2.04758    0.0090202
  228     1    228    1   2.3942e-15  2.3384e-15  0.00882362     2.05641   0.00901934
  229     1    229    1  2.81238e-15 2.88435e-15  0.00885144     2.06526    0.0090186
  230     1    230    1  1.52079e-15 1.49964e-15  0.00890774     2.07417   0.00901812
  231     1    231    1    2.311e-15 2.33244e-15  0.00902037     2.08319   0.00901813
  232     1    232    1   1.7491e-15 1.74954e-15  0.00898653     2.09217   0.00901799
  233     1    233    1  1.29658e-15 1.33806e-15  0.00900223     2.10118   0.00901793
  234     1    234    1  1.32495e-15   1.297e-15  0.00886088     2.11004   0.00901725
  235     1    235    1  2.27646e-15 2.23409e-15  0.00884268     2.11888   0.00901651
  236     1    236    1  2.77734e-15 2.90163e-15  0.00907123     2.12795   0.00901674
  237     1    237    1  1.40846e-15  1.3462e-15  0.00893809     2.13689   0.00901641
  238     1    238    1   1.8116e-15 1.92453e-15  0.00888797     2.14578   0.00901587
  239     1    239    1  1.64173e-15 1.63628e-15   0.0089819     2.15476   0.00901573
  240     1    240    1  1.13716e-15 1.12956e-15  0.00884548      2.1636   0.00901502
  241     1    241    1  1.51703e-15 1.50716e-15  0.00917808     2.17278    0.0090157
total time for overlap preconditioner (seconds) = 1.9949
