t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.039999999999999994,0.0,-0.00032081499433710625,0.005825672593823564,1.1640061693517093e-12
0.08,0.0,0.07999999999999999,0.0,-0.000603101766312284,0.011371646486480333,7.775762455794477e-18
0.12,0.0,0.12,0.0,-0.0008550874465921475,0.01662213627954236,-1.6679772797331682e-17
0.16,0.0,0.15999999999999998,0.0,-0.0010819315606965419,0.021582008071773868,7.860465750519907e-19
0.2,0.0,0.19999999999999996,0.0,-0.0012870797651306123,0.026266278696245753,5.373577017381281e-18
0.24,0.0,0.24,0.0,-0.0014730181835685896,0.030694258239196196,3.9979955110402976e-18
0.28,0.0,0.27999999999999997,0.0,-0.001641681097541322,0.03488642981225178,4.052205619664573e-18
0.32,0.0,0.31999999999999995,0.0,-0.0017946706709531415,0.03886284911528574,2.5560066216345767e-17
0.36,0.0,0.35999999999999993,0.0,-0.0019333759752222404,0.04264237317372991,2.8636489880773386e-17
0.4,0.0,0.3999999999999999,0.0,-0.002059037811518209,0.04624233836446062,1.2603850255143989e-17
0.44,0.0,0.44,0.0,-0.0021727841978964905,0.049678478934600964,1.1953328951652686e-17
0.48,0.0,0.48,0.0,-0.0022756500256392196,0.05296497038555149,6.776263578034403e-18
0.52,0.0,0.52,0.0,-0.0023685883131699323,0.05611453338773089,-4.671556110696917e-17
0.56,0.0,0.5600000000000003,0.0,-0.0024524771584926923,0.05913856257097116,9.595189226496714e-18
0.6,0.0,0.6,0.0,-0.002528124630373521,0.06204726077902734,5.664956351236761e-18
0.64,0.0,0.6399999999999999,0.0,-0.002596272785272782,0.0648497686367481,1.2793585635328952e-17
0.68,0.0,0.6800000000000002,0.0,-0.002657601400956744,0.0675542845468357,-4.342229700804445e-17
0.72,0.0,0.7199999999999999,0.0,-0.002712731685491299,0.07016817319256023,6.179952383167375e-18
0.76,0.0,0.7600000000000001,0.0,-0.00276223005699586,0.07269806222886056,7.822518674482914e-17
0.8,0.0,0.7999999999999998,0.0,-0.002806611890798343,0.07514992776575849,-1.588356182691264e-17
0.84,0.0,0.8400000000000002,0.0,-0.0028463454275449,0.0775291693800534,9.706319949176478e-17
0.88,0.0,0.88,0.0,-0.0028818554524737876,0.0798406759923243,-4.3259666682171627e-17
0.92,0.0,0.9200000000000002,0.0,-0.002913526946832386,0.08208888346729824,1.5070410197548512e-17
0.96,0.0,0.96,0.0,-0.0029417085611470497,0.08427782504253574,1.588356182691264e-17
1.0,0.0,1.0,0.0,-0.0029667158959334997,0.08641117548810176,4.7379634937616544e-17
