t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.019999999999999997,0.0,-0.00037066144162427664,0.0064491250638019516,1.913990111692375e-12
0.08,0.0,0.039999999999999994,0.0,-0.0006449354825215975,0.01153291799165136,2.2271044058420897e-13
0.12,0.0,0.06,0.0,-0.0008831024288113797,0.016107944178317672,-8.693375338174325e-13
0.16,0.0,0.07999999999999999,0.0,-0.0010966202154379812,0.020332752319267705,1.6971097921078537e-14
0.2,0.0,0.09999999999999998,0.0,-0.0012909790470830278,0.024282179005258402,3.1236242433764494e-12
0.24,0.0,0.12,0.0,-0.0014693984254597176,0.028002017225914794,-6.414806836760323e-14
0.28,0.0,0.13999999999999999,0.0,-0.0016340994249164516,0.0315244475948407,3.473537646750402e-13
0.32,0.0,0.15999999999999998,0.0,-0.0017866940475744215,0.03487406545904305,9.104713727739466e-12
0.36,0.0,0.17999999999999997,0.0,-0.0019284099112242784,0.03807074270541276,-7.896835258185825e-12
0.4,0.0,0.19999999999999996,0.0,-0.0020601941881404047,0.04113114774386383,-2.255371719462121e-11
0.44,0.0,0.22,0.0,-0.002182817092460121,0.04406962256794018,3.667881357796374e-11
0.48,0.0,0.24,0.0,-0.0022969126490222486,0.046898735969749056,1.6452768184307964e-11
0.52,0.0,0.26,0.0,-0.002403022409964466,0.049629649616425055,9.199596217191602e-12
0.56,0.0,0.28000000000000014,0.0,-0.0025016174551690208,0.05227236919491822,2.2162782676790616e-12
0.6,0.0,0.3,0.0,-0.00259311612058949,0.05483593198683479,-1.1208217296984624e-11
0.64,0.0,0.31999999999999995,0.0,-0.002677890777508811,0.05732853882468815,7.486962764167993e-12
0.68,0.0,0.3400000000000001,0.0,-0.0027562954539698857,0.05975766827760968,1.6637587575002444e-12
0.72,0.0,0.35999999999999993,0.0,-0.002828658127564324,0.06213015148089728,2.253890921555951e-11
0.76,0.0,0.38000000000000006,0.0,-0.0028952885552440146,0.064452239793913,3.6493258501885117e-13
0.8,0.0,0.3999999999999999,0.0,-0.0029564821879925615,0.06672966095880427,-1.3415212950923516e-13
0.84,0.0,0.4200000000000001,0.0,-0.003012521725505834,0.06896766527029896,6.137837124404327e-11
0.88,0.0,0.44,0.0,-0.0030636787127082546,0.07117106775875429,-1.6338288144276958e-12
0.92,0.0,0.4600000000000001,0.0,-0.0031102152454951194,0.07334427983533819,7.188146562350783e-13
0.96,0.0,0.48,0.0,-0.0031523837634641547,0.07549134673453191,1.698254612023803e-11
1.0,0.0,0.5,0.0,-0.0031904278123596427,0.07761597557870377,1.3745179040097755e-13
