t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.039999999999999994,0.0,-0.00032059031150657053,0.005841560224552351,3.3431616070606855e-13
0.08,0.0,0.07999999999999999,0.0,-0.000601385960326545,0.011491743747520608,1.5449880957918438e-18
0.12,0.0,0.12,0.0,-0.0008495172088684108,0.01700637967486772,2.859583229930518e-18
0.16,0.0,0.15999999999999998,0.0,-0.0010692614569691994,0.022447576594928374,2.5539737425611664e-17
0.2,0.0,0.19999999999999996,0.0,-0.001263551432332907,0.02787605805688503,1.9508862841161045e-17
0.24,0.0,0.24,0.0,-0.0014348317617122253,0.03334777774718746,1.8743145056843158e-17
0.28,0.0,0.27999999999999997,0.0,-0.0015854467426368712,0.03891334456018856,1.338989683019598e-17
0.32,0.0,0.31999999999999995,0.0,-0.001717755339356338,0.04461888293923444,1.0083080204115191e-17
0.36,0.0,0.35999999999999993,0.0,-0.0018341205363539943,0.05050740423602768,1.0088501214977619e-16
0.4,0.0,0.3999999999999999,0.0,-0.001936858987656752,0.05662020195941735,-6.209767942910727e-17
0.44,0.0,0.44,0.0,-0.0020281919264656914,0.06299807781765,3.615814245239157e-17
0.48,0.0,0.48,0.0,-0.0021102089424728855,0.06968234633976349,1.3625710802711577e-16
0.52,0.0,0.52,0.0,-0.0021848474427718745,0.07671564090785844,-1.9474981523270873e-16
0.56,0.0,0.5600000000000003,0.0,-0.002253884190322402,0.08414255451185798,-2.859583229930518e-17
0.6,0.0,0.6,0.0,-0.0023189362423976295,0.09201015701082578,4.728205674209285e-16
0.64,0.0,0.6399999999999999,0.0,-0.0023814689439672796,0.10036842308297061,-3.434210381347835e-17
0.68,0.0,0.6800000000000002,0.0,-0.0024428090526392244,0.1092705999660392,-9.687346411157982e-17
0.72,0.0,0.7199999999999999,0.0,-0.002504161071110632,0.11877353621490039,1.434941575284565e-16
0.76,0.0,0.7600000000000001,0.0,-0.002566624802359902,0.12893798500814238,2.6871950845053227e-16
0.8,0.0,0.7999999999999998,0.0,-0.0026312118475938354,0.13982888939276775,2.7647155398380363e-16
0.84,0.0,0.8400000000000002,0.0,-0.00269885920836425,0.15151565098553066,2.297424403496784e-16
0.88,0.0,0.88,0.0,-0.0027704384727908985,0.16407238101574884,4.856141530562574e-16
0.92,0.0,0.9200000000000002,0.0,-0.0028467596432729717,0.1775781322452978,-6.811500148640182e-16
0.96,0.0,0.96,0.0,-0.0029285695575162743,0.19211711451364238,6.410345344820545e-16
1.0,0.0,1.0,0.0,-0.0030165453596352407,0.20777890122228085,2.8650042407929455e-16
