t,u_x,u_y,f_x,f_y
0.0,0.0,0.0,0.0,0.0
0.05,0.05000000000000001,0.0,0.05503783443934175,4.991211647520019e-07
0.1,0.10000000000000002,0.0,0.10468174538172272,1.560977296768528e-06
0.15000000000000002,0.15,0.0,0.14967485390472224,3.206987912642706e-06
0.2,0.20000000000000004,0.0,0.19064388047206218,5.415859064727274e-06
0.25,0.25,0.0,0.22812039327495753,8.135426758352007e-06
0.3,0.29999999999999993,0.0,0.262557229073298,1.1294140502174366e-05
0.35,0.3499999999999999,0.0,0.2943414405292041,1.4811466221575226e-05
0.39999999999999997,0.4,0.0,0.32380469890390684,1.8606132085177002e-05
0.44999999999999996,0.4499999999999999,0.0,0.35123179252277714,2.260194936248676e-05
0.49999999999999994,0.4999999999999999,0.0,0.3768676641371829,2.6731125807231276e-05
0.5499999999999999,0.5500000000000002,0.0,0.4009233030254296,3.093592360390793e-05
0.6,0.5999999999999999,0.0,0.42358071608327874,3.516887825702822e-05
0.65,0.6500000000000001,0.0,0.4449971449648994,3.9392209363005304e-05
0.7000000000000001,0.6999999999999998,0.0,0.46530865548297534,4.3576805138469815e-05
0.7500000000000001,0.7500000000000001,0.0,0.48463319809948646,4.770102654320235e-05
0.8000000000000002,0.8000000000000002,0.0,0.503073219002433,5.1749521163057394e-05
0.8500000000000002,0.8500000000000002,0.0,0.5207178874901474,5.571213636233058e-05
0.9000000000000002,0.8999999999999999,0.0,0.5376449950247862,5.958297649234778e-05
0.9500000000000003,0.9500000000000002,0.0,0.5539225732504015,6.335961470099738e-05
1.0000000000000002,1.0000000000000002,0.0,0.5696102716982467,6.704245127379937e-05
