,x,y,z,t,u_x,u_y,u_z
4373,-11.5,9.0,0.245857,0.0,0.0,0.0,0.0
580,-4.0,-25.0,-0.120548,0.0,0.0,0.0,0.0
5899,-4.5,22.5,0.132206,0.0,0.0,0.0,0.0
4771,-8.5,12.5,0.240671,0.0,0.0,0.0,0.0
5114,-5.0,15.5,0.184647,0.0,0.0,0.0,0.0
5720,-10.0,21.0,0.376129,0.0,0.0,0.0,0.0
6288,-6.0,26.0,0.0928784,0.0,0.0,0.0,0.0
1775,5.5,-14.5,-0.116458,0.0,0.0,0.0,0.0
2289,10.5,-10.0,-0.0885092,0.0,0.0,0.0,0.0
537,2.5,-25.5,0.0978372,0.0,0.0,0.0,0.0
1001,10.5,-21.5,0.275434,0.0,0.0,0.0,0.0
5973,4.5,23.0,-0.079383,0.0,0.0,0.0,0.0
809,-1.5,-23.0,-0.165969,0.0,0.0,0.0,0.0
759,1.5,-23.5,-0.0639619,0.0,0.0,0.0,0.0
4719,-6.5,12.0,0.18579,0.0,0.0,0.0,0.0
535,1.5,-25.5,0.0565308,0.0,0.0,0.0,0.0
1326,5.0,-18.5,-0.0721185,0.0,0.0,0.0,0.0
294,-7.0,-27.5,0.0563631,0.0,0.0,0.0,0.0
5167,-6.5,16.0,0.226139,0.0,0.0,0.0,0.0
3673,2.5,2.5,-0.127321,0.0,0.0,0.0,0.0
6598,9.0,28.5,0.00476368,0.0,0.0,0.0,0.0
5594,11.0,19.5,-0.089109,0.0,0.0,0.0,0.0
5776,-10.0,21.5,0.371844,0.0,0.0,0.0,0.0
1842,11.0,-14.0,0.010292,0.0,0.0,0.0,0.0
6680,-6.0,29.5,-0.0654885,0.0,0.0,0.0,0.0
2605,0.5,-7.0,-0.217604,0.0,0.0,0.0,0.0
1026,-5.0,-21.0,-0.293924,0.0,0.0,0.0,0.0
6478,5.0,27.5,-0.0784402,0.0,0.0,0.0,0.0
886,9.0,-22.5,0.261353,0.0,0.0,0.0,0.0
6012,-4.0,23.5,0.0909441,0.0,0.0,0.0,0.0
3721,-1.5,3.0,-0.0777918,0.0,0.0,0.0,0.0
4006,1.0,5.5,-0.0742558,0.0,0.0,0.0,0.0
1649,-1.5,-15.5,-0.290911,0.0,0.0,0.0,0.0
1210,3.0,-19.5,-0.124584,0.0,0.0,0.0,0.0
2335,5.5,-9.5,-0.161237,0.0,0.0,0.0,0.0
3344,6.0,-0.5,-0.169658,0.0,0.0,0.0,0.0
2163,3.5,-11.0,-0.192822,0.0,0.0,0.0,0.0
798,-7.0,-23.0,-0.238046,0.0,0.0,0.0,0.0
1479,-2.5,-17.0,-0.305189,0.0,0.0,0.0,0.0
6019,-0.5,23.5,-0.0131361,0.0,0.0,0.0,0.0
651,3.5,-24.5,0.0797079,0.0,0.0,0.0,0.0
868,-7.27596e-11,-22.5,-0.156689,0.0,0.0,0.0,0.0
3174,5.0,-2.0,-0.166361,0.0,0.0,0.0,0.0
1238,-11.0,-19.0,-0.409043,0.0,0.0,0.0,0.0
3569,6.5,1.5,-0.18166,0.0,0.0,0.0,0.0
362,-1.0,-27.0,0.0847297,0.0,0.0,0.0,0.0
1087,-2.5,-20.5,-0.262611,0.0,0.0,0.0,0.0
6061,-7.5,24.0,0.214564,0.0,0.0,0.0,0.0
1999,5.5,-12.5,-0.141763,0.0,0.0,0.0,0.0
5163,-8.5,16.0,0.286076,0.0,0.0,0.0,0.0
6113,-9.5,24.5,0.27667,0.0,0.0,0.0,0.0
3283,3.5,-1.0,-0.167924,0.0,0.0,0.0,0.0
373,4.5,-27.0,0.339774,0.0,0.0,0.0,0.0
1473,-5.5,-17.0,-0.367307,0.0,0.0,0.0,0.0
5875,11.5,22.0,-0.0512889,0.0,0.0,0.0,0.0
1585,-5.5,-16.0,-0.377494,0.0,0.0,0.0,0.0
2844,8.0,-5.0,-0.157743,0.0,0.0,0.0,0.0
5494,-11.0,19.0,0.409723,0.0,0.0,0.0,0.0
2264,-2.0,-10.0,-0.289602,0.0,0.0,0.0,0.0
6574,-3.0,28.5,-0.0374772,0.0,0.0,0.0,0.0
2851,11.5,-5.0,-0.147012,0.0,0.0,0.0,0.0
5618,-5.0,20.0,0.175647,0.0,0.0,0.0,0.0
6370,7.0,26.5,-0.0724237,0.0,0.0,0.0,0.0
5702,9.0,20.5,-0.0718987,0.0,0.0,0.0,0.0
873,2.5,-22.5,-0.060251,0.0,0.0,0.0,0.0
2956,8.0,-4.0,-0.163967,0.0,0.0,0.0,0.0
33,2.5,-30.0,0.675734,0.0,0.0,0.0,0.0
6673,-9.5,29.5,-0.00471017,0.0,0.0,0.0,0.0
2721,2.5,-6.0,-0.195301,0.0,0.0,0.0,0.0
4790,1.0,12.5,-0.00625044,0.0,0.0,0.0,0.0
1357,-7.5,-18.0,-0.379721,0.0,0.0,0.0,0.0
5308,8.0,17.0,-0.0980026,0.0,0.0,0.0,0.0
4825,-9.5,13.0,0.288949,0.0,0.0,0.0,0.0
6267,11.5,25.5,0.0315866,0.0,0.0,0.0,0.0
5922,7.0,22.5,-0.0663032,0.0,0.0,0.0,0.0
6089,6.5,24.0,-0.0795051,0.0,0.0,0.0,0.0
