,x,y,z,t,u_x,u_y,u_z
4206,-11.0,7.5,0.185297,0.0,0.0,0.0,0.0
2780,4.0,-5.5,-0.181537,0.0,0.0,0.0,0.0
3171,3.5,-2.0,-0.170166,0.0,0.0,0.0,0.0
5625,-1.5,20.0,0.049641,0.0,0.0,0.0,0.0
1826,3.0,-14.0,-0.189984,0.0,0.0,0.0,0.0
5188,4.0,16.0,-0.0487169,0.0,0.0,0.0,0.0
6364,4.0,26.5,-0.0907674,0.0,0.0,0.0,0.0
5965,0.5,23.0,-0.0371315,0.0,0.0,0.0,0.0
289,-9.5,-27.5,0.05827,0.0,0.0,0.0,0.0
586,-1.0,-25.0,-0.0665932,0.0,0.0,0.0,0.0
142,1.0,-29.0,0.429881,0.0,0.0,0.0,0.0
5250,7.0,16.5,-0.0923102,0.0,0.0,0.0,0.0
4793,2.5,12.5,-0.037655,0.0,0.0,0.0,0.0
1503,9.5,-17.0,0.0689419,0.0,0.0,0.0,0.0
4605,-7.5,11.0,0.186542,0.0,0.0,0.0,0.0
5609,-9.5,20.0,0.364232,0.0,0.0,0.0,0.0
6072,-2.0,24.0,0.0159646,0.0,0.0,0.0,0.0
308,0.0,-27.5,0.174222,0.0,0.0,0.0,0.0
3315,-8.5,-0.5,-0.0763109,0.0,0.0,0.0,0.0
6343,-6.5,26.5,0.0883534,0.0,0.0,0.0,0.0
1700,-4.0,-15.0,-0.355601,0.0,0.0,0.0,0.0
108,12.0,-29.5,1.04538,0.0,0.0,0.0,0.0
253,0.5,-28.0,0.259517,0.0,0.0,0.0,0.0
4618,-1.0,11.0,0.0268342,0.0,0.0,0.0,0.0
4373,-11.5,9.0,0.245857,0.019992003198720514,-0.0019785,0.000608339,-0.000446717
580,-4.0,-25.0,-0.120548,0.019992003198720514,-0.00180971,0.000481703,-0.000299815
5899,-4.5,22.5,0.132206,0.019992003198720514,-0.00165066,0.00118969,-5.68144e-06
4771,-8.5,12.5,0.240671,0.019992003198720514,-0.00164748,0.000246112,0.00144147
5114,-5.0,15.5,0.184647,0.019992003198720514,-0.0019583,0.00130611,0.000394594
5720,-10.0,21.0,0.376129,0.019992003198720514,-0.00162501,0.00106758,0.00135274
6288,-6.0,26.0,0.0928784,0.019992003198720514,-0.00228177,0.00065996,0.000157208
1775,5.5,-14.5,-0.116458,0.019992003198720514,-0.00142689,0.000595983,0.00021097
2289,10.5,-10.0,-0.0885092,0.019992003198720514,-0.00132386,0.000754182,-0.000776255
537,2.5,-25.5,0.0978372,0.019992003198720514,-0.0015484,0.000718246,0.000604944
1001,10.5,-21.5,0.275434,0.019992003198720514,-0.00126686,0.000529504,-0.000948891
5973,4.5,23.0,-0.079383,0.019992003198720514,-0.00163198,0.00068368,0.00165593
809,-1.5,-23.0,-0.165969,0.019992003198720514,-0.00184808,0.000568417,0.000350239
759,1.5,-23.5,-0.0639619,0.019992003198720514,-0.00110757,0.00071824,-0.000601333
4719,-6.5,12.0,0.18579,0.019992003198720514,-0.00211995,0.000324059,0.00048395
535,1.5,-25.5,0.0565308,0.019992003198720514,-0.00119027,0.000819479,0.000554394
1326,5.0,-18.5,-0.0721185,0.019992003198720514,-0.00113845,0.000732907,-0.000126547
294,-7.0,-27.5,0.0563631,0.019992003198720514,-0.0014151,0.000776913,-0.000201593
5167,-6.5,16.0,0.226139,0.019992003198720514,-0.00203875,0.000577395,0.00031933
3673,2.5,2.5,-0.127321,0.019992003198720514,-0.00183613,0.000490574,-0.000433873
6598,9.0,28.5,0.00476368,0.019992003198720514,-0.00110961,0.0017952,-0.00051722
5594,11.0,19.5,-0.089109,0.019992003198720514,-0.00150163,0.00121823,-0.000652436
5776,-10.0,21.5,0.371844,0.019992003198720514,-0.00230824,0.00106594,0.0011479
1842,11.0,-14.0,0.010292,0.019992003198720514,-0.00132469,0.000547837,5.67742e-05
6680,-6.0,29.5,-0.0654885,0.019992003198720514,-0.00255588,0.00104502,-0.000765481
2605,0.5,-7.0,-0.217604,0.019992003198720514,-0.00161245,0.00022563,0.000825667
1026,-5.0,-21.0,-0.293924,0.019992003198720514,-0.00192857,0.000505276,0.000272332
6478,5.0,27.5,-0.0784402,0.019992003198720514,-0.00214593,0.00210083,0.00273818
886,9.0,-22.5,0.261353,0.019992003198720514,-0.00130054,0.000583494,0.000611884
6012,-4.0,23.5,0.0909441,0.019992003198720514,-0.00214974,0.00110256,-0.000194347
3721,-1.5,3.0,-0.0777918,0.019992003198720514,-0.00165829,0.000484104,8.70806e-05
4006,1.0,5.5,-0.0742558,0.019992003198720514,-0.0019046,0.000539788,-0.000930515
1649,-1.5,-15.5,-0.290911,0.019992003198720514,-0.0016518,0.000976439,0.0007759
1210,3.0,-19.5,-0.124584,0.019992003198720514,-0.00167239,0.000795464,0.00078834
2335,5.5,-9.5,-0.161237,0.019992003198720514,-0.00181635,0.000306635,0.000165724
3344,6.0,-0.5,-0.169658,0.019992003198720514,-0.00183567,0.000551646,-0.00104458
2163,3.5,-11.0,-0.192822,0.019992003198720514,-0.00152359,0.000483549,-9.1976e-06
798,-7.0,-23.0,-0.238046,0.019992003198720514,-0.00139277,0.000673061,0.0014257
1479,-2.5,-17.0,-0.305189,0.019992003198720514,-0.00157928,0.000952085,7.39105e-05
6019,-0.5,23.5,-0.0131361,0.019992003198720514,-0.00152776,0.00137418,0.0012819
651,3.5,-24.5,0.0797079,0.019992003198720514,-0.00141214,0.000846623,8.43467e-05
868,-7.27596e-11,-22.5,-0.156689,0.019992003198720514,-0.00148716,0.000821935,0.00110184
3174,5.0,-2.0,-0.166361,0.019992003198720514,-0.0013245,0.000715006,0.000865363
1238,-11.0,-19.0,-0.409043,0.019992003198720514,-0.00170169,0.000745455,-0.000761781
3569,6.5,1.5,-0.18166,0.019992003198720514,-0.00202992,0.000617481,-0.00125466
362,-1.0,-27.0,0.0847297,0.019992003198720514,-0.00162723,0.000482892,0.000526044
1087,-2.5,-20.5,-0.262611,0.019992003198720514,-0.0016345,0.000783781,0.000801073
6061,-7.5,24.0,0.214564,0.019992003198720514,-0.00248841,0.000656902,-0.00117691
1999,5.5,-12.5,-0.141763,0.019992003198720514,-0.00185858,0.000814776,-0.000721519
5163,-8.5,16.0,0.286076,0.019992003198720514,-0.00254667,0.00102541,0.000742337
6113,-9.5,24.5,0.27667,0.019992003198720514,-0.00198642,0.000351771,0.00228338
3283,3.5,-1.0,-0.167924,0.019992003198720514,-0.00146734,0.000599714,-0.000617226
373,4.5,-27.0,0.339774,0.019992003198720514,-0.0011427,0.000742866,-0.00036975
1473,-5.5,-17.0,-0.367307,0.019992003198720514,-0.00136633,0.000992191,0.000968683
5875,11.5,22.0,-0.0512889,0.019992003198720514,-0.00122343,0.00112715,0.00161507
1585,-5.5,-16.0,-0.377494,0.019992003198720514,-0.00134945,0.000821391,-9.3963e-06
2844,8.0,-5.0,-0.157743,0.019992003198720514,-0.0018344,0.000647078,0.000339755
5494,-11.0,19.0,0.409723,0.019992003198720514,-0.00205522,0.000858178,0.000790849
2264,-2.0,-10.0,-0.289602,0.019992003198720514,-0.00142075,0.000553763,-0.00101707
6574,-3.0,28.5,-0.0374772,0.019992003198720514,-0.00156305,0.000982269,0.000220125
2851,11.5,-5.0,-0.147012,0.019992003198720514,-0.00156027,0.000743183,-0.000718509
5618,-5.0,20.0,0.175647,0.019992003198720514,-0.00125408,0.00103007,0.000109021
6370,7.0,26.5,-0.0724237,0.019992003198720514,-0.00144138,0.00136538,0.000302221
5702,9.0,20.5,-0.0718987,0.019992003198720514,-0.00162121,0.000949755,-0.000149079
873,2.5,-22.5,-0.060251,0.019992003198720514,-0.00142013,0.000607898,-9.29425e-05
2956,8.0,-4.0,-0.163967,0.019992003198720514,-0.00137679,0.000690619,-0.000838461
33,2.5,-30.0,0.675734,0.019992003198720514,-0.0032159,0.000336526,-0.00525503
6673,-9.5,29.5,-0.00471017,0.019992003198720514,-0.00173421,0.000282608,0.00113558
2721,2.5,-6.0,-0.195301,0.019992003198720514,-0.00150611,0.000286733,0.000732206
4790,1.0,12.5,-0.00625044,0.019992003198720514,-0.00257061,0.00118633,-0.00174677
1357,-7.5,-18.0,-0.379721,0.019992003198720514,-0.00153927,0.00110835,0.000820327
5308,8.0,17.0,-0.0980026,0.019992003198720514,-0.00132812,0.00103382,0.00022349
4825,-9.5,13.0,0.288949,0.019992003198720514,-0.00197733,0.000464029,0.000351325
6267,11.5,25.5,0.0315866,0.019992003198720514,-0.00107769,0.000507167,0.00163771
5922,7.0,22.5,-0.0663032,0.019992003198720514,-0.00140764,0.00112574,-0.00127319
6089,6.5,24.0,-0.0795051,0.019992003198720514,-0.00170013,0.000735015,2.82742e-05
4206,-11.0,7.5,0.185297,0.019992003198720514,-0.00215052,0.000446744,-0.00142179
2780,4.0,-5.5,-0.181537,0.019992003198720514,-0.00147255,0.000482688,0.000141155
3171,3.5,-2.0,-0.170166,0.019992003198720514,-0.00199684,0.00040053,0.000810655
5625,-1.5,20.0,0.049641,0.019992003198720514,-0.00171781,0.000772131,-3.48116e-05
1826,3.0,-14.0,-0.189984,0.019992003198720514,-0.00167,0.000558334,-0.000620075
5188,4.0,16.0,-0.0487169,0.019992003198720514,-0.000584423,0.00101885,-0.00193582
6364,4.0,26.5,-0.0907674,0.019992003198720514,-0.0025245,0.000937075,0.000566718
5965,0.5,23.0,-0.0371315,0.019992003198720514,-0.00181303,0.00115992,0.00241426
289,-9.5,-27.5,0.05827,0.019992003198720514,-0.00162431,0.000834836,0.001713
586,-1.0,-25.0,-0.0665932,0.019992003198720514,-0.00176194,0.000641938,-0.000773744
142,1.0,-29.0,0.429881,0.019992003198720514,-0.00143799,0.000696769,0.0013894
5250,7.0,16.5,-0.0923102,0.019992003198720514,-0.00140735,0.00117324,-0.000407491
4793,2.5,12.5,-0.037655,0.019992003198720514,-0.00160036,0.000858463,-0.000322926
1503,9.5,-17.0,0.0689419,0.019992003198720514,-0.00165077,0.000575154,-0.00136594
4605,-7.5,11.0,0.186542,0.019992003198720514,-0.00216071,0.000577825,5.40309e-05
5609,-9.5,20.0,0.364232,0.019992003198720514,-0.00166613,0.000733903,0.00199159
6072,-2.0,24.0,0.0159646,0.019992003198720514,-0.00169028,0.00120554,0.000708005
308,0.0,-27.5,0.174222,0.019992003198720514,-0.0014299,0.000444587,0.000250924
3315,-8.5,-0.5,-0.0763109,0.019992003198720514,-0.00196206,0.000418073,7.87337e-05
6343,-6.5,26.5,0.0883534,0.019992003198720514,-0.00191038,0.00128086,-0.000468485
1700,-4.0,-15.0,-0.355601,0.019992003198720514,-0.00148244,0.000711935,0.000592846
108,12.0,-29.5,1.04538,0.019992003198720514,-0.000951614,0.000652148,-4.96304e-05
253,0.5,-28.0,0.259517,0.019992003198720514,-0.00141609,0.00050088,-0.000623185
4618,-1.0,11.0,0.0268342,0.019992003198720514,-0.00176847,0.000557029,0.000126094
4373,-11.5,9.0,0.245857,0.03998400639744103,-0.00188033,-6.36167e-05,0.000899495
580,-4.0,-25.0,-0.120548,0.03998400639744103,-0.00150713,0.000354687,0.00111759
5899,-4.5,22.5,0.132206,0.03998400639744103,-0.00129508,0.000915317,0.0023092
4771,-8.5,12.5,0.240671,0.03998400639744103,-0.00136372,-0.000109962,0.00249351
5114,-5.0,15.5,0.184647,0.03998400639744103,-0.001576,0.000769141,0.00309992
5720,-10.0,21.0,0.376129,0.03998400639744103,-0.00102507,0.00101458,0.00215675
6288,-6.0,26.0,0.0928784,0.03998400639744103,-0.00209163,-0.000167613,0.00434885
1775,5.5,-14.5,-0.116458,0.03998400639744103,-0.000688306,0.000384372,0.00156422
2289,10.5,-10.0,-0.0885092,0.03998400639744103,-0.000544475,0.000308391,0.000471207
537,2.5,-25.5,0.0978372,0.03998400639744103,-0.000765212,0.000400156,0.00183704
1001,10.5,-21.5,0.275434,0.03998400639744103,-0.00045215,0.00036922,-9.12212e-05
5973,4.5,23.0,-0.079383,0.03998400639744103,-0.00141631,-9.53287e-06,0.00392529
809,-1.5,-23.0,-0.165969,0.03998400639744103,-0.00124268,9.86456e-06,0.00283234
759,1.5,-23.5,-0.0639619,0.03998400639744103,-0.000142915,7.72471e-05,0.00146375
4719,-6.5,12.0,0.18579,0.03998400639744103,-0.00188336,-6.44096e-05,0.00254914
535,1.5,-25.5,0.0565308,0.03998400639744103,-0.000664289,0.00046516,0.00156441
1326,5.0,-18.5,-0.0721185,0.03998400639744103,-0.000586849,0.000466826,0.00145307
294,-7.0,-27.5,0.0563631,0.03998400639744103,-0.00114519,0.000440225,0.00308069
5167,-6.5,16.0,0.226139,0.03998400639744103,-0.00147052,0.00026439,0.00114597
3673,2.5,2.5,-0.127321,0.03998400639744103,-0.00130013,0.00027486,-8.28578e-05
6598,9.0,28.5,0.00476368,0.03998400639744103,-0.000538396,0.00111092,0.0025736
5594,11.0,19.5,-0.089109,0.03998400639744103,-0.000667312,0.00109359,0.0018977
5776,-10.0,21.5,0.371844,0.03998400639744103,-0.0018929,0.00097736,0.0021017
1842,11.0,-14.0,0.010292,0.03998400639744103,-0.000295418,0.000109741,0.000831736
6680,-6.0,29.5,-0.0654885,0.03998400639744103,-0.00363235,0.00175164,-0.00541341
2605,0.5,-7.0,-0.217604,0.03998400639744103,-0.00110616,0.000132147,0.0019247
1026,-5.0,-21.0,-0.293924,0.03998400639744103,-0.00142058,0.000581107,0.00111841
6478,5.0,27.5,-0.0784402,0.03998400639744103,-0.00200855,0.00124829,0.00699229
886,9.0,-22.5,0.261353,0.03998400639744103,-0.000402423,0.000100732,0.00210765
6012,-4.0,23.5,0.0909441,0.03998400639744103,-0.00223425,0.000113332,0.00465998
3721,-1.5,3.0,-0.0777918,0.03998400639744103,-0.0015255,-6.77496e-05,0.00205527
4006,1.0,5.5,-0.0742558,0.03998400639744103,-0.0013635,0.000589192,-0.000626424
1649,-1.5,-15.5,-0.290911,0.03998400639744103,-0.00115528,0.000610465,0.00317139
1210,3.0,-19.5,-0.124584,0.03998400639744103,-0.00127043,0.000695391,0.00185143
2335,5.5,-9.5,-0.161237,0.03998400639744103,-0.00088251,0.000354164,0.00171494
3344,6.0,-0.5,-0.169658,0.03998400639744103,-0.000877935,0.000421924,-0.000946368
2163,3.5,-11.0,-0.192822,0.03998400639744103,-0.000755668,0.000511211,0.000731153
798,-7.0,-23.0,-0.238046,0.03998400639744103,-0.000924421,0.000738619,0.00316105
1479,-2.5,-17.0,-0.305189,0.03998400639744103,-0.000995659,0.000833392,0.00131427
6019,-0.5,23.5,-0.0131361,0.03998400639744103,-0.00125482,0.000914485,0.00373209
651,3.5,-24.5,0.0797079,0.03998400639744103,-0.000405721,0.000435261,0.000248729
868,-7.27596e-11,-22.5,-0.156689,0.03998400639744103,-0.00094907,0.000375126,0.00255992
3174,5.0,-2.0,-0.166361,0.03998400639744103,-0.000478646,0.000376192,0.000382234
1238,-11.0,-19.0,-0.409043,0.03998400639744103,-0.00179767,0.000330406,0.0024147
3569,6.5,1.5,-0.18166,0.03998400639744103,-0.00101903,0.000118014,0.000574249
362,-1.0,-27.0,0.0847297,0.03998400639744103,-0.00131068,0.00018923,0.00137025
1087,-2.5,-20.5,-0.262611,0.03998400639744103,-0.00123477,0.000338677,0.0022677
6061,-7.5,24.0,0.214564,0.03998400639744103,-0.00193276,-0.000208114,0.00285745
1999,5.5,-12.5,-0.141763,0.03998400639744103,-0.00119941,0.000378349,0.00119539
5163,-8.5,16.0,0.286076,0.03998400639744103,-0.00256153,0.000989494,0.00284213
6113,-9.5,24.5,0.27667,0.03998400639744103,-0.00204962,-0.000307598,0.00451725
3283,3.5,-1.0,-0.167924,0.03998400639744103,-0.000869356,5.10879e-05,0.00149947
373,4.5,-27.0,0.339774,0.03998400639744103,-5.09125e-05,0.00044213,0.00104805
1473,-5.5,-17.0,-0.367307,0.03998400639744103,-0.000648144,0.000709808,0.00236832
5875,11.5,22.0,-0.0512889,0.03998400639744103,-0.000399715,0.000918665,0.00390788
1585,-5.5,-16.0,-0.377494,0.03998400639744103,-0.00113208,0.000849589,0.00221631
2844,8.0,-5.0,-0.157743,0.03998400639744103,-0.000921861,0.000344116,0.00104196
5494,-11.0,19.0,0.409723,0.03998400639744103,-0.00205224,0.000400731,0.00159946
2264,-2.0,-10.0,-0.289602,0.03998400639744103,-0.00100256,0.00055005,0.000905467
6574,-3.0,28.5,-0.0374772,0.03998400639744103,-0.000791571,-0.000174688,0.00440603
2851,11.5,-5.0,-0.147012,0.03998400639744103,-0.000539005,0.000512445,-0.00127264
5618,-5.0,20.0,0.175647,0.03998400639744103,-0.000749968,0.000427708,0.00335778
6370,7.0,26.5,-0.0724237,0.03998400639744103,-0.000767787,0.000591693,0.00304049
5702,9.0,20.5,-0.0718987,0.03998400639744103,-0.000855979,-0.000143166,0.00279506
873,2.5,-22.5,-0.060251,0.03998400639744103,-0.000722463,0.000284854,0.00125431
2956,8.0,-4.0,-0.163967,0.03998400639744103,-0.000513697,0.000477186,-5.3087e-05
33,2.5,-30.0,0.675734,0.03998400639744103,-0.00305732,0.000827375,-0.00454305
6673,-9.5,29.5,-0.00471017,0.03998400639744103,-0.00177005,-0.000442781,0.00263701
2721,2.5,-6.0,-0.195301,0.03998400639744103,-0.000888118,0.000253255,0.00271421
4790,1.0,12.5,-0.00625044,0.03998400639744103,-0.00195423,0.000465715,0.00109884
1357,-7.5,-18.0,-0.379721,0.03998400639744103,-0.00143054,0.00131106,0.00257862
5308,8.0,17.0,-0.0980026,0.03998400639744103,-0.00138103,0.000109921,0.00198065
4825,-9.5,13.0,0.288949,0.03998400639744103,-0.0022347,-0.000207251,0.00236854
6267,11.5,25.5,0.0315866,0.03998400639744103,-3.98516e-05,-3.65743e-05,0.00154632
5922,7.0,22.5,-0.0663032,0.03998400639744103,-0.00143063,0.000627845,0.00161639
6089,6.5,24.0,-0.0795051,0.03998400639744103,-0.00213259,-9.39989e-05,0.00162242
4206,-11.0,7.5,0.185297,0.03998400639744103,-0.00208305,-0.000355319,0.00183484
2780,4.0,-5.5,-0.181537,0.03998400639744103,-0.000829177,0.000368791,0.000875912
3171,3.5,-2.0,-0.170166,0.03998400639744103,-0.00115103,0.000237444,0.000202755
5625,-1.5,20.0,0.049641,0.03998400639744103,-0.00173727,0.000451507,0.00277454
1826,3.0,-14.0,-0.189984,0.03998400639744103,-0.00117651,0.000533664,0.0019514
5188,4.0,16.0,-0.0487169,0.03998400639744103,0.000290019,0.000735153,-0.000205796
6364,4.0,26.5,-0.0907674,0.03998400639744103,-0.0026121,0.000189702,0.00262863
5965,0.5,23.0,-0.0371315,0.03998400639744103,-0.00107921,0.000881839,0.0023875
289,-9.5,-27.5,0.05827,0.03998400639744103,-0.00107109,0.000529109,0.0044614
586,-1.0,-25.0,-0.0665932,0.03998400639744103,-0.00104833,0.000185564,0.00127206
142,1.0,-29.0,0.429881,0.03998400639744103,-0.000621911,0.000516856,0.0031652
5250,7.0,16.5,-0.0923102,0.03998400639744103,-0.000956363,0.000926245,0.0017212
4793,2.5,12.5,-0.037655,0.03998400639744103,-0.00111389,0.000468861,0.0014142
1503,9.5,-17.0,0.0689419,0.03998400639744103,-0.000524934,0.000465938,0.000295557
4605,-7.5,11.0,0.186542,0.03998400639744103,-0.0017292,0.000414448,0.00189116
5609,-9.5,20.0,0.364232,0.03998400639744103,-0.00150045,-0.000222039,0.00322356
6072,-2.0,24.0,0.0159646,0.03998400639744103,-0.00123781,0.000385574,0.00340977
308,0.0,-27.5,0.174222,0.03998400639744103,-0.000361978,0.000332646,0.00282673
3315,-8.5,-0.5,-0.0763109,0.03998400639744103,-0.00170896,-0.000119647,0.00260607
6343,-6.5,26.5,0.0883534,0.03998400639744103,-0.00253224,0.000815708,0.00197596
1700,-4.0,-15.0,-0.355601,0.03998400639744103,-0.00125264,0.000675247,0.00198963
108,12.0,-29.5,1.04538,0.03998400639744103,-8.2819e-05,0.000415144,0.000991863
253,0.5,-28.0,0.259517,0.03998400639744103,-0.000720703,0.000342739,0.00187952
4618,-1.0,11.0,0.0268342,0.03998400639744103,-0.00123213,0.000430096,0.00205123
4373,-11.5,9.0,0.245857,0.059976009596161534,-0.000448905,-0.00112757,0.00309862
580,-4.0,-25.0,-0.120548,0.059976009596161534,0.000183005,-0.000253163,0.00558591
5899,-4.5,22.5,0.132206,0.059976009596161534,9.6473e-05,-0.000476682,0.00614548
4771,-8.5,12.5,0.240671,0.059976009596161534,-0.000235692,-0.00171803,0.0061095
5114,-5.0,15.5,0.184647,0.059976009596161534,-0.000603257,-0.000373693,0.00527081
5720,-10.0,21.0,0.376129,0.059976009596161534,0.00012692,-0.000172181,0.0053166
6288,-6.0,26.0,0.0928784,0.059976009596161534,-0.000491982,-0.00214244,0.00994808
1775,5.5,-14.5,-0.116458,0.059976009596161534,0.000833911,-0.000638428,0.0038782
2289,10.5,-10.0,-0.0885092,0.059976009596161534,0.00129546,-0.000982018,0.0041909
537,2.5,-25.5,0.0978372,0.059976009596161534,0.000873074,-0.000264575,0.00445629
1001,10.5,-21.5,0.275434,0.059976009596161534,0.00124531,-0.000199395,0.00456656
5973,4.5,23.0,-0.079383,0.059976009596161534,-5.55621e-05,-0.00168467,0.00774406
809,-1.5,-23.0,-0.165969,0.059976009596161534,2.46257e-05,-0.000796013,0.00611012
759,1.5,-23.5,-0.0639619,0.059976009596161534,0.00141805,-0.000510454,0.00433075
4719,-6.5,12.0,0.18579,0.059976009596161534,-0.00074022,-0.00102681,0.00488529
535,1.5,-25.5,0.0565308,0.059976009596161534,0.000991341,-2.28067e-05,0.00631314
1326,5.0,-18.5,-0.0721185,0.059976009596161534,0.00126838,-0.000366355,0.00362191
294,-7.0,-27.5,0.0563631,0.059976009596161534,0.000315204,-0.000421632,0.00541536
5167,-6.5,16.0,0.226139,0.059976009596161534,-0.000174069,-0.00100949,0.00535347
3673,2.5,2.5,-0.127321,0.059976009596161534,-0.000139478,-0.000975847,0.00360801
6598,9.0,28.5,0.00476368,0.059976009596161534,0.00125054,0.000458773,0.00546806
5594,11.0,19.5,-0.089109,0.059976009596161534,0.000310031,-0.000291624,0.00675087
5776,-10.0,21.5,0.371844,0.059976009596161534,-0.000812087,-0.000293496,0.0048686
1842,11.0,-14.0,0.010292,0.059976009596161534,0.00148283,-0.00110955,0.0040077
6680,-6.0,29.5,-0.0654885,0.059976009596161534,-0.00271918,-0.000154516,0.00413018
2605,0.5,-7.0,-0.217604,0.059976009596161534,0.000610169,-0.000570572,0.00496238
1026,-5.0,-21.0,-0.293924,0.059976009596161534,0.000435872,-0.000248598,0.00401089
6478,5.0,27.5,-0.0784402,0.059976009596161534,-0.000704373,-0.000264656,0.0112341
