forces,disps,times
0.0,0.0,0.0
0.6700877158029599,0.1,0.1
1.186589997840151,0.2,0.2
1.5900302681384137,0.3,0.30000000000000004
1.9104151591164145,0.4,0.4
2.1695066660206113,0.5,0.5
2.382982214534953,0.6,0.6
2.5621450727798294,0.7,0.7
2.715186974371167,0.8,0.7999999999999999
2.848091528475462,0.9,0.8999999999999999
2.965271646758128,1.0,0.9999999999999999
2.9489610945405302,1.0,2.0
2.860338471341131,1.0,3.0
2.779414814003608,1.0,4.0
2.7055043149213205,1.0,5.0
2.637984456745723,1.0,6.0
2.5762898961361307,1.0,7.0
2.519906973669829,1.0,8.0
2.4683687804977685,1.0,9.0
2.4212507193725665,1.0,10.0
2.3781665098245552,1.0,11.0
